54.0,984,121,499,15,0.03,18,0.59,0.030,0.010,70,0.010,176,363,8,10
110.9,469,94,642,14,0.01,14,0.90,0.005,0.005,103,0.005,47,82,4,24
63.4,1104,208,440,20,0.01,21,1.40,0.030,0.005,205,0.005,425,352,5,8
25.7,561,133,104,7,0.02,13,1.34,0.010,0.005,68,0.005,150,646,5,3
46.6,723,217,161,12,0.02,17,1.85,0.030,0.005,95,0.005,374,181,5,5
19.0,371,181,42,12,0.02,25,2.87,0.010,0.005,175,0.005,85,108,6,3
31.4,296,625,49,14,0.02,21,1.30,0.010,0.005,119,0.005,51,173,9,3
19.0,131,541,24,16,0.01,12,0.85,0.005,0.005,163,0.005,8,171,13,3
20.6,106,437,21,15,0.02,11,0.64,0.005,0.005,154,0.005,12,155,19,3
25.7,236,711,23,21,0.02,15,0.93,0.010,0.005,195,0.005,94,226,17,8
28.6,522,855,55,10,0.01,12,0.95,0.010,0.005,85,0.005,105,190,12,3
53.1,1531,1083,182,23,0.01,17,1.55,0.010,0.005,121,0.005,301,402,8,5
46.3,1706,783,119,10,0.01,19,1.63,0.010,0.005,129,0.005,87,185,7,6
32.1,808,412,108,8,0.01,19,1.61,0.020,0.005,164,0.005,53,113,4,3
34.7,2208,742,29,15,0.01,21,2.39,0.010,0.005,167,0.005,224,214,5,5
40.7,2394,1102,107,32,0.01,20,3.62,0.030,0.005,120,0.005,861,939,4,3
37.4,1122,588,58,35,0.01,19,1.36,0.010,0.005,177,0.005,72,217,4,6
39.4,985,1036,106,31,0.01,18,1.13,0.040,0.005,91,0.005,351,392,5,7
32.3,1939,751,148,47,0.01,13,0.97,0.030,0.005,75,0.005,602,391,4,6
19.3,315,590,100,30,0.01,23,0.42,0.005,0.005,145,0.005,23,150,5,5
20.7,146,676,1885,14,0.01,13,0.29,0.005,0.005,164,0.005,19,112,5,3
16.5,260,1003,2189,33,0.01,16,0.49,0.005,0.005,199,0.005,35,359,6,3
17.5,223,655,1728,18,0.02,11,0.46,0.010,0.005,150,0.005,77,222,9,6
21.0,448,1338,192,47,0.02,14,0.31,0.005,0.005,152,0.005,39,191,10,6
17.8,199,1092,44,25,0.01,13,0.39,0.005,0.005,165,0.005,14,165,8,3
16.2,134,603,61,17,0.02,11,0.35,0.010,0.005,210,0.005,45,66,10,7
14.3,149,482,54,29,0.02,21,0.95,0.010,0.005,202,0.005,14,153,12,7
15.5,169,550,40,20,0.01,8,0.30,0.005,0.005,125,0.005,27,108,6,3
16.7,107,731,55,33,0.02,20,0.73,0.010,0.005,151,0.005,67,124,9,3
21.7,463,657,80,20,0.01,9,0.47,0.030,0.005,135,0.005,101,216,7,6
12.0,144,464,45,16,0.01,19,0.86,0.010,0.005,251,0.005,13,85,8,3
16.5,195,621,45,36,0.01,10,0.29,0.005,0.005,118,0.005,14,164,5,3
29.6,1348,579,160,36,0.01,17,0.84,0.040,0.005,250,0.010,105,157,6,18
20.4,1735,644,64,30,0.02,16,0.85,0.040,0.005,220,0.010,189,294,8,24
13.6,165,670,27,23,0.01,14,0.63,0.020,0.005,171,0.005,50,90,5,11
12.9,346,612,53,17,0.02,22,1.34,0.020,0.005,274,0.005,39,101,8,15
19.5,665,486,146,44,0.01,11,0.66,0.030,0.005,154,0.005,141,229,6,22
14.4,256,432,47,26,0.01,14,0.86,0.005,0.005,114,0.005,60,121,7,8
12.5,325,355,157,24,0.01,11,0.76,0.005,0.005,128,0.005,57,103,5,14
32.9,250,390,160,9,0.02,26,0.98,0.010,0.005,161,0.005,46,55,8,12
14.2,399,193,104,3,0.03,366,1.32,0.020,0.005,136,0.020,134,50,15,71
18.9,691,347,85,21,0.05,54,1.13,0.030,0.005,121,0.020,38,112,8,10
15.2,178,105,454,3,0.01,92,1.35,0.005,0.005,107,0.005,30,59,7,8
23.8,351,172,2050,3,0.01,24,1.19,0.010,0.005,175,0.005,22,96,9,3
66.5,810,1172,1547,29,0.02,40,3.50,0.020,0.020,166,0.005,362,279,10,12
63.0,411,567,729,13,0.02,74,1.52,0.005,0.010,214,0.005,128,215,11,9
23.2,380,618,485,3,0.02,92,1.87,0.010,0.010,93,0.005,32,108,11,6
18.7,340,693,1091,3,0.01,66,1.19,0.005,0.005,107,0.005,34,61,7,3
24.5,124,980,3252,3,0.01,25,0.96,0.005,0.005,135,0.005,25,50,7,8
15.0,172,542,159,3,0.04,25,0.96,0.010,0.005,111,0.010,29,56,8,8
28.1,393,737,486,3,0.01,42,1.58,0.030,0.005,116,0.005,88,70,10,3
11.8,225,360,326,3,0.02,26,0.99,0.005,0.005,96,0.010,16,46,9,3
10.3,268,441,1213,5,0.01,23,1.06,0.005,0.005,131,0.005,22,67,10,6
14.5,319,263,1995,3,0.01,15,0.82,0.005,0.005,105,0.005,17,69,8,3
18.3,464,282,4124,3,0.01,19,1.10,0.020,0.005,107,0.005,77,84,8,3
